X,Y,Kod_stacji,Nazwa_stacji,Wysokosc
21.8654231163364,49.5007646349185,"249210190",WISŁOCZEK,"520"
21.90733400529,49.4898715650295,"249210210",PUŁAWY DOLNE,"395"
21.697177334783,49.465494440567,"249219986",TYLAWA,"390"
21.4207877278606,49.4538014869446,"249210220",WYSZOWADKA,"506"
21.8099947188264,49.4400118642349,"249210250",JAŚLISKA,"440"
21.0089112710896,49.3923481008181,"249210260",TYLICZ,"585"
21.9991643708164,49.3787259423801,"249210270",WISŁOK WIELKI,"540"
22.2911220734385,49.9793236429525,"249229999",HUSÓW,"330"
22.4071317448877,49.9851994825439,"249220010",KAŃCZUGA,"215"
22.0167888683964,49.9671093586466,"249220020",BUDZIWÓJ,"245"
22.3547995353433,49.8873365587065,"249220030",HUCISKO JAWORNICKIE,"320"
22.6543295152771,49.7773387203429,"249229995",KRASICZYN,"240"
22.012367302875,49.6954808477719,"249229994",BRZOZÓW,"320"
22.2213210819177,49.6904642411482,"249220050",TEMESZÓW,"282"
22.6400409132678,49.6544617384805,"249220070",RYBOTYCZE,"289"
22.0696879043806,49.567485957125,"249220090",NOWOSIELCE,"305"
22.0252917891566,49.5077061882809,"249220110",NOWOTANIEC,"405"
22.5478641302173,49.5071056562999,"249220120",LESZCZOWATE,"486"
22.6211535645756,49.4432455168508,"249220130",BRZEGI DOLNE,"438"
22.4154610262551,49.432797478787,"249229992",MYCZKOWCE,"356"
22.1469750727835,49.3989460441096,"249220140",SZCZAWNE,"395"
22.5310516003279,49.3801326797856,"249220160",TELEŚNICA OSZWAROWA,"449"
22.6625962202533,49.3641525293295,"249229991",RABE,"564"
22.4476073825739,49.3147766772542,"249220190",SAKOWCZYK,"561"
22.5765976681815,49.3032354513709,"249220220",POLANA,"458"
22.6923544174408,49.2482087568684,"249220230",LUTOWISKA,"621"
22.2717181067432,49.2088930183421,"249220240",ŻUBRACZE,"623"
22.3311406407926,49.2126452683475,"249220250",CISNA,"549"
22.6339149748996,49.2209101833667,"249220260",DWERNIK,"543"
22.4246655387372,49.1963048450943,"249220270",KALNICA,"577"
22.3170284975966,49.1532806569243,"249220290",ROZTOKI GÓRNE,"701"
22.4718693101102,49.1448083634937,"249220310",WETLINA,"708"
23.0631596751372,49.9749629067421,"249230010",MŁYNY,"198"
19.5372203769518,50.0482090786252,"250190430",ALWERNIA,"238"
21.5295935778028,50.4988910396211,"250210150",BARANÓW SANDOMIERSKI,"150"
21.2553375577678,50.7702953529663,"250210070",BARANÓWEK,"283"
20.649833644155,50.9786098472011,"250200010",BARTKÓW,"330"
20.9333333300262,50.8500000010915,"250200060",BIELINY KAPITULNE,"300"
20.7101121075003,50.0658912569727,"250200290",BORZĘCIN,"192"
22.7899187776241,50.5067537322823,"250220130",BRODZIAKI,"201"
21.6947194889607,50.3887384030295,"250219992",BUDY TUSZOWSKIE,"180"
20.7590631660205,50.6159367216792,"250209995",CHMIELNIK,"255"
20.5571569377047,50.425837320408,"250200190",CHROBERZ,"180"
22.5931726455708,50.260541133258,"250220160",CIEPLICE,"198"
20.9027147503217,50.7584732870697,"250200110",CISÓW,"326"
21.2507082677181,50.0687598444241,"250219984",CZARNA,"210"
20.8195837263459,50.7977408405969,"250209998",DALESZYCE,"260"
20.9900931625222,50.1776775083174,"250200270",DĄBROWA TARNOWSKA,"210"
22.666108393871,50.6749735796624,"250220080",FRAMPOL,"243"
23.0464441606062,50.1966078496855,"250230130",FUTORY,"239"
21.879589769657,50.5671878962118,"250219996",GRĘBÓW,"160"
22.4437594654135,50.1725891907999,"250220170",GRODZISKO DOLNE,"200"
19.9773064408,50.2176458667683,"250199991",IWANOWICE,"280"
20.7414114703378,50.1679503376878,"250209987",JADOWNIKI MOKRE,"175"
20.3236299923329,50.1840450538046,"250200260",JAKUBOWICE,"212"
22.4186111100259,50.7061111109425,"250220070",JANÓW LUBELSKI,"230"
22.696459488165,50.0183622500299,"250220210",JAROSŁAW,"181"
21.1870681397642,50.7246558043701,"250210090",JASTRZĘBSKA WOLA,"263"
23.0583498710903,50.4875176548428,"250230060",JÓZEFÓW,"257"
20.5345181932738,50.2598756525597,"250200240",KAZIMIERZA MAŁA,"186"
21.4501425824284,50.6531949363948,"250210120",KLIMONTÓW,"203"
20.5247442036525,50.6125329770448,"250200130",KLISZÓW,"206"
20.3689773188906,50.0458685223446,"250209984",POSZYNA (KŁAJ),"196"
21.7458164436429,50.2623300959771,"250210220",KOLBUSZOWA,"200"
20.0333483805379,50.7930711271989,"250200090",KONIECZNO,"266"
20.498379307237,50.5316879691786,"250200150",KOPERNIA,"190"
19.8425691754319,50.0457694254028,"250199987",KRAKÓW-BIELANY-KLASZTOR,"315"
21.3312258426782,50.7363782934806,"250219997",KRĘPA GÓRNA,"225"
19.6333333300083,50.1333333310956,"250199989",KRZESZOWICE,"285"
20.1448419064028,50.4422519940002,"250200170",KSIĄŻ WIELKI,"266"
21.0339149298399,50.4250255631033,"250219993",KWASÓW,"205"
22.8994081670736,50.021675517311,"250229992",LASZKI,"195"
22.0905848041006,50.7019048701785,"250229999",LIPA,"165"
21.0330835138546,50.0800524448983,"250219986",LISIA GÓRA,"250"
